1,assure,to tell someone that something is definitely true/ especially so that they do not worry,0,保証する,請け合う,assured that SV SがVするのでご安心ください。
2,admire,to respect or approve of someone or something,0,～に見とれる,～に敬服する,
3,afford,to have enough money to buy something or enough time to do something,0,余裕のある,,
4,agreement,a promise or decision made between two or more people,0,契約,同意,
5,alike,similar,0,同様に,,
6,appear,to seem to be a particular thing or have a particular quality:,0,現れる,,
7,appointed,to officially choose someone for a job,0,任命する,指名する,
8,approve,to allow or officially agree to something,0,承認する,賛成する,
9,arange,to make the necessary plans and preparations for something to happen,0,手配する,並べる,
10,attach,to join or fix one thing to another,0,添付する,,
11,aware,a prize given to someone for something they have achieved,0,賞,授与する,
12,behave,to do or say things in a particular way,0,ふるまう,,
13,brochure,a thin book with pictures and information/ usually advertising something,0,パンフレット,,
14,certain,completely sure of something/ or knowing without doubt that something is true,0,確信している,限られた,
15,claim,a statement that something is true/ although you have not proved it,0,申し建てを行う,,
16,closely,If two things are closely connected/ related/ etc/ they are very similar to each other or there is a relationship between them,0,密接に,注意深く,
17,commission,to arrange for someone to do a piece of work,0,委託する,委任する,
18,committed,loyal and willing to give your time and energy to something that you believe in,0,熱心に取り組む,献身的な,
19,comparison,something that compares two or more people or things/ or the act of comparing them,0,比較,,
20,complainnt,a statement that something is wrong or not satisfactory,0,苦情,クレーム,
21,complex,a group of buildings or rooms that are used for a particular purpose,0,複合施設,集合住宅,
22,complicated,involving a lot of different parts/ in a way that is difficult to understand,0,複雑な,,
23,concerning,about something,0,~に関して,,
24,content,the information or ideas that are talked about in a book/ speech/ film/ etc,0,内容,中身,
25,contract,a legal agreement between two people or organizations/ especially one that involves doing work for a particular amount of money,0,契約,,
26,contrast,an obvious difference between two people or things,0,対象,はっきりとした違い,
27,cooperation,a situation in which you work together with someone or do what they ask you,0,協力,,
28,correctly,accurate/ or having no mistakes,0,正確な,,
29,council,a group of people who are elected to control a town/ city/ or area,0,議会,,
30,deal,an arrangement or an agreement/ especially in business,0,取引,,
31,decision,a choice that you make about something after thinking about several possibilities:,0,決定,結論,
32,delighted,very pleased,0,喜んでいる,,
33,delivery,the job of taking things such as letters/ parcels/ or goods to a person or place,0,配達(物),,
34,departure,the act of leaving a place/ especially to start a journey to another place,0,出発,逸脱,
35,description,something that tells you what someone or something is like,0,説明,記述,
36,deserve,If you deserve something good or bad/ it should happen to you because of the way you have behaved,0,値する,,
37,determine,to discover the facts or truth about something,0,決定する,判断する,
38,discover,to find something,0,～を発見する,,
39,district,a part of a city or country/ either an official area or one that is known for having a particular characteristic or business,0,地区,,
40,duty,something you must do because it is morally or legally right,0,任務,職務,
41,effective,successful or achieving the result that you want,0,効果的な,,
42,efficient,working well and not wasting time or energy,0,効率的な,,
43,entire,whole or complete,0,全体の,,
44,equally,to the same degree or level,0,同じように,,
45,exist,to be real or present,0,存在,,
46,existing,which exist or are used at the present time,0,従来の,既存の,
47,expense,the money that you spend on something,0,費用,経費,
48,extremely,very/ or much more than usual,0,きまめて,非情に,
49,fairly,more than average/ but less than very,0,かなり,,
50,familiar,easy to recognize because of being seen/ met/ heard/ etc before,0,よく知っている,おなじみの,
51,finalize,to make a final and certain decision about a plan/ date/ etc,0,取りまとめる,仕上げる,
52,full-time,happening or working for the whole of the working week and not only part of it,0,常勤の,,
53,honor,something that you give to someone in public to show respect for them and their achievements,0,称える,名誉,
54,identify,to recognize someone or something and say or prove who or what they are,0,特定する,,
55,import,to bring something into your country from another country for people to buy,0,輸入,輸入する,
56,impress,to make someone admire or respect you,0,感心させる,好印象を与える,
57,income,money that you earn by working/ investing/ or producing goods,0,収入,,
58,individual,considered separately from other things in a group,0,個人,個別の,
59,informal,relaxed and friendly,0,非公式の,カジュアルな,
60,institute,an organization where people do a particular kind of scientific/ educational/ or social work,0,（専門的な）機関,,
61,institution,a large and important organization/ such as a university or bank,0,(大きな）機関,,
62,intend,to want and plan to do something,0,意図する,,
63,invest,to give money to a bank/ business/ etc/ or buy something/ because you hope to get a profit,0,投資,,
64,invitation,an offer from someone to do something or go somewhere,0,招待（状）,,
65,legal,relating to the law,0,法律に関係する,,
66,loyal,always liking and supporting someone or something/ sometimes when other people do not,0,忠実な,,
67,manufacture,to produce something/ usually in large numbers in a factory,0,メーカー,製造業者,
68,monitor,a screen that shows information or pictures/ usually connected to a computer,0,監視する,モニター,
69,occasion,a time when something happens,0,特別な行事,何かが起こるとき,
70,occasionally,not happening often,0,時々,,
71,organization,an official group of people who work together for the same purpose,0,団体,会社,
72,organize,to plan or arrange something,0,計画する,取りまとめる,
73,participate,to be involved with other people in an activity,0,参加する,加わる,
74,particular,used to talk about one thing or person and not others,0,特定の,,
75,particularly,especially,0,特に,,
76,permanent,continuing forever or for a long time,0,常設の,永久の,
77,personnel,the people who work for an organization,0,社員,,
78,pleased,happy or satisfied,0,喜んで,満足して,
79,postpone,to arrange for something to happen at a later time,0,延期する,,
80,practical,relating to real situations or actions and not to thoughts or ideas,0,実際の,実務の,
81,priority,something that is very important and that must be dealt with before other things,0,優先順位,,
82,procedure,the official or usual way of doing something,0,手順,,
83,proceed,to continue as planned,0,進む,,
84,profit,money that you get from selling goods or services for more than they cost to produce or provide,0,利益,,
85,proof,a fact or a piece of information that shows something exists or is true,0,証明,,
86,properly,correctly/ or in a satisfactory way,0,適切に,ちゃんと,
87,property,a building or area of land,0,不動産,,
88,prove,to show that something is true,0,証明する,,
89,recognize,to know someone or something because you have seen or experienced them before,0,認識する,に見覚えがある,
90,used to ,,0,前は～だった,,
91,whole,complete/ including every part,0,全体の,,
92,reference,the act of looking at information/ or the thing that you look at for information:,0,紹介先,紹介,
93,refund,an amount of money that is given back to you/ especially because you are not happy with something you have bought,0,返金,,
94,regard,to think of someone or something in a particular way:,0,~を（～と）みなす,,
95,regret,to feel sorry about a situation/ especially something that you wish you had not done,0,残念に思う,,
96,relatively,quite/ when compared to other things or people,0,比較的,,
97,quite,a little or a lot but not completely,0,,,
98,quiet,making little or no noise,0,静か,,
99,quit,to leave your job or school permanently,0,やめる,,
100,replacement,the thing or person that replaces something or someone,0,交換,後任,
101,represent,to be a sign or symbol of something,0,代表を務める,代弁する,
102,representative,someone who speaks or does something officially for another person,0,代表者,代理人,
103,reserve,to arrange to have a seat on an aircraft/ a room in a hotel/ etc,0,予約する,,
104,satisfied,pleased because you have got what you wanted/ or because something has happened in the way that you wanted,0,満足した,,
105,simply,in a way which is not complicated or not difficult to understand,0,簡単な,単純に,
106,slightly,a little,0,少し,わずかに,
107,specific,used to refer to a particular thing and not something general,0,具体的な,,
108,supply,to provide things that people want or need/ often over a long period of time,0,必需品,,
109,transfer,to move someone or something from one place to another,0,転勤させる,移動させる,
110,transport,a vehicle or system of vehicles/ such as buses/ trains/ aircraft/ etc for getting from one place to another,0,運ぶ,輸送する,
111,transform,to change something completely/ usually to improve it,0,変形する,,
112,translate,to change written or spoken words from one language to another,0,商取引,資金決済,
113,transaction,the buying or selling of something/ or an exchange of money,0,翻訳,,
114,vote,to show your choice or opinion in an election or meeting by writing a cross on an official piece of paper or putting your hand up,0,投票する,,
115,warranty,a written promise made by a company to change or repair one of its products if it has a fault,0,保証,保証書,
116,worth,,0,価値,,
